,address,price
842,208 w ann #1,3600.0
843,203 koch ave.,3750.0
844,106 depot st.,3000.0
845,109 glen ave #2,4200.0
846,508 packard st.,4350.0
847,504 lawrence st #2,4000.0
848,503 elm st. apt 1,4800.0
849,401 lawrence st. #2,4000.0
851,812 brown st.,3900.0
852,549 packard st. #1,4800.0
853,508 lawrence,3900.0
854,616 lawrence,3750.0
855,511 elizabeth,3600.0
856,815 lawrence,4200.0
857,500 packard,3800.0
858,419 n ingalls,3750.0
859,275 harbor way,1499.0
860,1837 davis st.,999.0
863,2044 mcdivitt ct,1364.0
866,140 lauff,970.0
867,3998 audrey rae ln.,1165.0
868,3998 audrey rae lane,1165.0
869,3998 audrey rae lane,1165.0
870,3998 audrey rae lane,1200.0
871,3998 audrey rae lane,1165.0
873,1245 astor avenue,1575.0
874,1840 collins ct,999.0
875,2960 international drive,899.0
882,1815 hiawatha pl,1800.0
884,2962 signature blvd,1890.0
885,2514 whitetail run court,2200.0
886,458 village oaks,2200.0
887,1205 island drive,1350.0
888,1003 s 7th street,1600.0
889,1773 hideaway lane drive,3795.0
890,2201 glencoe hills,1099.0
897,1825 hill st,2780.0
898,310 e william,6550.0
899,328 catherine,5370.0
900,1288 broadway,2760.0
901,222 brookridge,2500.0
903,117 e davis,2175.0
913,512 n ashley st,1295.0
916,2511 packard st,1685.0
918,1984 traver rd,1219.0
922,101 lake village,2251.0
923,275 harbor way,1499.0
924,2501 keystone ln,840.0
925,2501 keystone ln,840.0
926,2501 keystone ln,1040.0
927,2501 keystone ln,1040.0
932,"40935 micol dr,",800.0
933,"40935 micol dr,",800.0
934,275 harbor way,1449.0
935,27883 independence st,825.0
936,1751 cass lake front st,950.0
937,1777 plymouth road,1625.0
939,201 e madison st,3345.0
940,46 e cross st,1845.0
942,728 s main st,1645.0
943,955 sumpter road,1100.0
944,908 sybil st,1625.0
946,1000 w huron st,1250.0
947,2976 cascade drive,770.0
948,508 hill st,4599.0
951,527 s 4th ave,1845.0
952,414 s division st,1295.0
955,1984 traver rd,1379.0
956,201 e madison st,3345.0
957,2976 cascade drive,890.0
958,2976 cas,1155.0
960,1005 maiden lane,1359.0
961,119 west mosley,2475.0
962,520 n ashley st,1395.0
963,1355 s. winter st.,830.0
964,275 harbor way,1579.0
965,1751 scio ridge rd,2895.0
966,101 lake village,1952.0
967,512 n ashley st,1295.0
970,520 n ashley st,1325.0
972,403 s division,2985.0
973,1005 maiden lane,1299.0
974,727 e kingsley st,1795.0
975,1005 maiden lane,1499.0
977,4685 hunt club dr.,1400.0
978,140 lauff drive,1030.0
979,1338 washtenaw ave,1195.0
981,1121 packard,4650.0
982,1803 hill st,6490.0
984,727 e kingsley st,1795.0
986,1803 hill st,2780.0
