,address,price
1416,2230 melbourne ave.,1304
1417,1984 traver rd,1219
1418,401 s. highlander way,878
1419,schooner cove boulevard,829
142,329 jarvis street,795
1420,275 harbor way,1499
1421,2230 melbourne ave.,1304
1422,1131 nielsen ct,1300
1423,pauline,1189
1425,south main street,1331
1427,2021 medford rd,1229
1428,2960 international drive,1019
1429,2820 windwood,1483
1430,140 lauff drive,1040
1431,2021 medford rd,1529
1432,stadium blvd,1079
1433,stadium blvd,1159
1435,212 stevens drive,918
1436,2911 bynan dr.,909
1437,birch hollow,969
1438,lancashire drive,1269
1439,golfside,875
1440,140 lauff drive,970
1441,512 n ashley st,1295
1442,2501 keystone lane,1040
1443,3998 audrey rae ln.,1165
1444,2201 glencoe hills drive,929
1445,525 west highland rd,1029
1446,212 stevens drive,918
1447,212 stevens drive,918
1448,201 e madison st,3345
145,w liberty,1499
1450,twin lakes drive,919
1451,3998 audrey rae ln.,1165
1452,518 e william st,3295
1453,2960 international,1019
1456,1980 pauline boulevard,1189
1457,512 n ashley st,1295
1458,w liberty,1589
1459,22250 swan road,765
146,latson,1110
1460,south main street,1488
1462,2820 windwood,1644
1464,lancashire drive,1419
1465,140 lauff,970
1466,1984 traver road,1239
1468,520 n ashley st,1395
147,329 jarvis street,1095
1471,1863 collins ct.,999
1472,1840 collins ct,999
1473,1837 davis st.,999
1474,3265 boardwalk drive,1410
1475,518 e william st,1780
1476,2044 mcdivitt ct.,1364
1478,520 n ashley st,1325
148,101 lake village,1422
1481,w liberty,1569
1482,3050 birch hollow dr,975
1483,1984 traver rd,1219
1484,955 sumpter road,1100
1485,twin lakes drive,1129
1486,211 washington,900
1487,stadium blvd,1229
1488,stadium blvd,1229
1489,stadium blvd,1229
149,e prospect,815
1490,stadium blvd,1229
1493,stadium blvd,1229
1494,schooner cove boulevard,979
1495,south main street,1329
1496,3050 birch hollow dr,1095
1497,2820 windwood,1644
1498,108 washtenaw,800
1499,stadium blvd,1199
15,101 lake village,1304
150,e prospect,815
1500,108 washtenaw,800
1501,108 washtenaw,800
1503,211 washington,700
1506,2960 international dr.,839
1507,twin lakes drive,919
1508,2960 international dr.,989
151,12 miles,1195
1510,1984 traver rd,1469
1511,727 e kingsley st,1795
1512,525 west highland rd,1029
1514,s main street,2251
